date,daily_deaths
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,1
2020-03-01,2
2020-03-02,3
2020-03-03,4
2020-03-04,2
2020-03-05,0
2020-03-06,1
2020-03-07,4
2020-03-08,3
2020-03-09,4
2020-03-10,3
2020-03-11,6
2020-03-12,4
2020-03-13,7
2020-03-14,4
2020-03-15,3
2020-03-16,12
2020-03-17,11
2020-03-18,18
2020-03-19,11
2020-03-20,15
2020-03-21,18
2020-03-22,13
2020-03-23,22
2020-03-24,36
2020-03-25,38
2020-03-26,48
2020-03-27,67
2020-03-28,52
2020-03-29,35
2020-03-30,47
2020-03-31,80
2020-04-01,78
2020-04-02,89
2020-04-03,87
2020-04-04,105
2020-04-05,83
2020-04-06,110
2020-04-07,135
2020-04-08,129
2020-04-09,127
2020-04-10,124
2020-04-11,122
2020-04-12,88
2020-04-13,101
2020-04-14,141
2020-04-15,178
2020-04-16,151
2020-04-17,165
2020-04-18,155
2020-04-19,68
2020-04-20,116
2020-04-21,196
2020-04-22,224
2020-04-23,218
2020-04-24,233
2020-04-25,110
2020-04-26,58
2020-04-27,148
2020-04-28,180
2020-04-29,148
2020-04-30,159
2020-05-01,170
2020-05-02,125
2020-05-03,67
2020-05-04,86
2020-05-05,219
2020-05-06,183
2020-05-07,170
2020-05-08,204
2020-05-09,137
2020-05-10,69
2020-05-11,112
2020-05-12,165
2020-05-13,231
2020-05-14,123
2020-05-15,275
2020-05-16,150
2020-05-17,71
2020-05-18,74
2020-05-19,201
2020-05-20,199
2020-05-21,164
2020-05-22,118
2020-05-23,121
2020-05-24,47
2020-05-25,38
2020-05-26,98
2020-05-27,198
2020-05-28,165
2020-05-29,164
2020-05-30,117
2020-05-31,41
2020-06-01,87
2020-06-02,128
2020-06-03,151
2020-06-04,110
2020-06-05,121
2020-06-06,121
2020-06-07,35
2020-06-08,62
2020-06-09,159
2020-06-10,154
2020-06-11,155
2020-06-12,113
2020-06-13,125
2020-06-14,47
2020-06-15,66
2020-06-16,141
2020-06-17,136
2020-06-18,149
2020-06-19,136
2020-06-20,118
2020-06-21,37
2020-06-22,64
2020-06-23,156
2020-06-24,181
2020-06-25,130
2020-06-26,129
2020-06-27,88
2020-06-28,51
2020-06-29,72
2020-06-30,185
2020-07-01,190
2020-07-02,163
2020-07-03,123
2020-07-04,41
2020-07-05,65
2020-07-06,105
2020-07-07,260
2020-07-08,225
2020-07-09,244
2020-07-10,210
2020-07-11,164
2020-07-12,132
2020-07-13,73
2020-07-14,310
2020-07-15,298
2020-07-16,216
2020-07-17,251
2020-07-18,261
2020-07-19,57
2020-07-20,118
2020-07-21,317
2020-07-22,274
2020-07-23,302
2020-07-24,310
2020-07-25,262
2020-07-26,65
2020-07-27,148
2020-07-28,372
2020-07-29,294
2020-07-30,336
2020-07-31,359
2020-08-01,252
2020-08-02,61
2020-08-03,157
2020-08-04,328
2020-08-05,310
2020-08-06,258
2020-08-07,346
2020-08-08,217
2020-08-09,118
2020-08-10,138
2020-08-11,307
2020-08-12,342
2020-08-13,316
2020-08-14,240
2020-08-15,215
2020-08-16,54
2020-08-17,123
2020-08-18,301
2020-08-19,351
2020-08-20,246
2020-08-21,249
2020-08-22,253
2020-08-23,42
2020-08-24,131
2020-08-25,261
2020-08-26,294
2020-08-27,244
2020-08-28,264
2020-08-29,131
2020-08-30,64
2020-08-31,123
2020-09-01,197
2020-09-02,264
2020-09-03,282
2020-09-04,247
2020-09-05,131
2020-09-06,52
2020-09-07,44
2020-09-08,98
2020-09-09,260
2020-09-10,168
2020-09-11,228
2020-09-12,123
2020-09-13,70
2020-09-14,111
2020-09-15,241
2020-09-16,175
2020-09-17,173
2020-09-18,206
2020-09-19,155
2020-09-20,20
2020-09-21,82
2020-09-22,219
2020-09-23,169
2020-09-24,134
2020-09-25,229
2020-09-26,121
2020-09-27,35
2020-09-28,46
2020-09-29,214
2020-09-30,160
2020-10-01,140
2020-10-02,166
2020-10-03,99
2020-10-04,46
2020-10-05,71
2020-10-06,126
2020-10-07,181
2020-10-08,132
2020-10-09,128
2020-10-10,103
2020-10-11,42
2020-10-12,48
2020-10-13,150
2020-10-14,177
2020-10-15,138
2020-10-16,138
2020-10-17,78
2020-10-18,54
2020-10-19,56
